wikidata_id,speaker,sr_names,episode_count,episode_ids,ages_at_episodes,wikidata_label,wikidata_description,wikipedia_url,gender,gender_id,birth_date,death_date,citizenships,citizenship_ids,occupations,occupation_ids
Q107367401,Karin Bodin,"[""Karin Bodin""]",1,[1732864],[46],,,https://sv.wikipedia.org/wiki/Karin_Bodin,kvinna,Q6581072,1974-11-13,,"[""Sverige""]","[""Q34""]","[""verkställande direktör""]","[""Q484876""]"
Q107375516,Nadim Ghazale,"[""Nadim Ghazale""]",1,[1733935],[38],,,https://sv.wikipedia.org/wiki/Nadim_Ghazale,man,Q6581097,1983-01-25,,[],[],"[""polis""]","[""Q35535""]"
Q107428344,Fredrik Steen,"[""Fredrik Steen""]",1,[1740383],[48],,,https://sv.wikipedia.org/wiki/Fredrik_Steen,man,Q6581097,1972-09-26,,"[""Sverige""]","[""Q34""]","[""hundtränare""]","[""Q1637531""]"
Q107513193,Mathilda Hofling,"[""Mathilda Hofling""]",1,[1740387],[35],,,https://sv.wikipedia.org/wiki/Mathilda_Hofling,kvinna,Q6581072,1986-04-09,,"[""Sverige""]","[""Q34""]",[],[]
Q107656705,Olga Persson,"[""Olga Persson""]",1,[1734355],[44],,,https://sv.wikipedia.org/wiki/Olga_Persson,kvinna,Q6581072,1977-05-22,,[],[],[],[]
Q107695705,Camilla Hamid,"[""Camilla Hamid""]",1,[1952953],[30],,,https://sv.wikipedia.org/wiki/Camilla_Hamid,kvinna,Q6581072,1992-03-31,,"[""Sverige""]","[""Q34""]","[""bloggare"",""kokboksförfattare""]","[""Q8246794"",""Q27431213""]"
Q1077383,Ola Salo,"[""Ola Salo""]",3,"[291180,367467,382407]","[36,32,26]",,,https://sv.wikipedia.org/wiki/Ola_Salo,man,Q6581097,1977-02-19,,"[""Sverige""]","[""Q34""]","[""skådespelare"",""kompositör"",""rocksångare"",""sångare"",""pianist"",""musiker""]","[""Q33999"",""Q36834"",""Q104218554"",""Q177220"",""Q486748"",""Q639669""]"
Q1078507,Christer Björkman,"[""Christer Björkman""]",1,[116682],[54],,,https://sv.wikipedia.org/wiki/Christer_Bj%C3%B6rkman,man,Q6581097,1957-08-25,,"[""Sverige""]","[""Q34""]","[""sångare"",""TV-programledare"",""tv-skådespelare"",""TV-producent""]","[""Q177220"",""Q947873"",""Q10798782"",""Q578109""]"
Q108040269,Nicolas Lunabba,"[""Nicolas Lunabba""]",1,[1733201],[40],,,https://sv.wikipedia.org/wiki/Nicolas_Lunabba,man,Q6581097,1981-04-06,,"[""Sverige""]","[""Q34""]","[""författare"",""författare"",""ungdomsledare"",""debattör""]","[""Q36180"",""Q482980"",""Q1605672"",""Q12307965""]"
Q1080849,Christian Lindberg,"[""Christian Lindberg""]",1,[366868],[51],,,https://sv.wikipedia.org/wiki/Christian_Lindberg,man,Q6581097,1958-02-15,,"[""Sverige""]","[""Q34""]","[""kompositör"",""dirigent"",""trombonist"",""musiker""]","[""Q36834"",""Q158852"",""Q544972"",""Q639669""]"
Q1082534,Christian von Koenigsegg,"[""Christian von Koenigsegg""]",1,[1952954],[50],,,https://sv.wikipedia.org/wiki/Christian_von_Koenigsegg,man,Q6581097,1972-07-02,,"[""Sverige""]","[""Q34""]","[""affärsidkare"",""fordonsingenjör""]","[""Q43845"",""Q48351861""]"
Q108281858,Charlotte von Essen,"[""Charlotte von Essen""]",1,[2181421],[60],,,https://sv.wikipedia.org/wiki/Charlotte_von_Essen,kvinna,Q6581072,1963-05-08,,"[""Sverige""]","[""Q34""]","[""ämbetsman"",""jurist""]","[""Q212238"",""Q185351""]"
Q108810182,Vivi Wallin,"[""Vivi Wallin""]",1,[2396918],[46],,,https://sv.wikipedia.org/wiki/Vivi_Wallin,kvinna,Q6581072,1977-07-06,,"[""Sverige""]","[""Q34""]","[""programledare"",""författare"",""influerare"",""TV-programledare"",""författare""]","[""Q94498772"",""Q482980"",""Q2906862"",""Q947873"",""Q36180""]"
Q108818816,Julia Ravanis,"[""Julia Ravanis""]",1,[2578990],[31],,,https://sv.wikipedia.org/wiki/Julia_Ravanis,kvinna,Q6581072,1993,,[],[],"[""doktorand""]","[""Q12764792""]"
Q108825806,Amat Levin,"[""Amat Levin""]",1,[1952957],[35],,,https://sv.wikipedia.org/wiki/Amat_Levin,man,Q6581097,1986-10-20,,"[""Sverige""]","[""Q34""]","[""journalist""]","[""Q1930187""]"
Q1105516,Katinka Faragó,"[""Katinka Faragó""]",1,[1077285],[81],,,https://sv.wikipedia.org/wiki/Katinka_Farag%C3%B3,kvinna,Q6581072,1936-12-16,2024-11-26,"[""Sverige"",""Österrike""]","[""Q34"",""Q40""]","[""filmproducent"",""scripta""]","[""Q3282637"",""Q1263187""]"
Q110646285,Ebba Årsjö,"[""Ebba Årsjö""]",1,[2815530],[25],,,https://sv.wikipedia.org/wiki/Ebba_%C3%85rsj%C3%B6,kvinna,Q6581072,2001-01-12,,"[""Sverige""]","[""Q34""]","[""paraalpin skidåkare""]","[""Q132041876""]"
Q1106547,Åke Falck,"[""Åke Falck""]",3,"[425087,425088,481218]","[43,49,47]",,,https://sv.wikipedia.org/wiki/%C3%85ke_Falck,man,Q6581097,1925-04-03,1974-10-12,"[""Sverige""]","[""Q34""]","[""skådespelare"",""manusförfattare"",""filmregissör"",""regissör"",""TV-programledare""]","[""Q33999"",""Q28389"",""Q2526255"",""Q3455803"",""Q947873""]"
Q111192241,Joakim Paasikivi,"[""Joakim Paasikivi""]",1,[2396891],[63],,,https://sv.wikipedia.org/wiki/Joakim_Paasikivi,man,Q6581097,1960-08-20,,"[""Finland"",""Sverige""]","[""Q33"",""Q34""]","[""militär""]","[""Q47064""]"
Q111507151,Hans Grundberg,"[""Hans Grundberg""]",1,[2578966],[48],,,https://sv.wikipedia.org/wiki/Hans_Grundberg,man,Q6581097,1977-04-29,,"[""Sverige""]","[""Q34""]","[""diplomat""]","[""Q193391""]"
Q112463258,Martin Peterson,"[""Martin Peterson""]",1,[2815532],[50],,,https://sv.wikipedia.org/wiki/Martin_Peterson_(filosof),man,Q6581097,1975,,[],[],"[""professor""]","[""Q121594""]"
Q112548132,Markus Torgeby,"[""Markus Torgeby""]",1,[2397718],[47],,,https://sv.wikipedia.org/wiki/Markus_Torgeby,man,Q6581097,1976,,[],[],"[""löpare""]","[""Q12803959""]"
Q112554088,Ruth Kvarnström-Jones,"[""Ruth Kvarnström-Jones""]",1,[2815520],[64],,,https://sv.wikipedia.org/wiki/Ruth_Kvarnstr%C3%B6m-Jones,kvinna,Q6581072,1962-04-26,,[],[],"[""sångtextförfattare"",""bloggare"",""författare""]","[""Q822146"",""Q8246794"",""Q36180""]"
Q112657761,Felicia Nestler,"[""Felicia Nestler""]",1,[1952956],[21],,,,kvinna,Q6581072,2000-07-24,,[],[],[],[]
Q112657771,Kateryna Martyniuk,"[""Kateryna Martyniuk""]",1,[1952965],[31],,,,kvinna,Q6581072,1990-08-07,,[],[],[],[]
Q112657781,Bengt Einar ”Sotarn” Johansson,"[""Bengt Einar ”Sotarn” Johansson""]",1,[1952966],[67],,,,man,Q6581097,1955-05-24,,[],[],"[""entreprenör""]","[""Q131524""]"
Q112657788,Cedwin Sandanam,"[""Cedwin Sandanam""]",1,[1952975],[41],,,https://sv.wikipedia.org/wiki/Cedwin_Sandanam,man,Q6581097,1981-01-22,,[],[],"[""körledare""]","[""Q1076502""]"
Q112657798,Emma Schols,"[""Emma Schols""]",1,[1952984],[33],,,,kvinna,Q6581072,1989-07-26,,"[""Sverige""]","[""Q34""]",[],[]
Q112657804,Susanne Dahl,"[""Susanne Dahl""]",1,[1952986],[null],,,,kvinna,Q6581072,,,"[""Sverige""]","[""Q34""]","[""präst""]","[""Q42603""]"
Q112657808,Carl Hedin,"[""Carl Hedin""]",1,[1952987],[31],,,https://sv.wikipedia.org/wiki/Carl_Hedin,man,Q6581097,1991-06-22,,"[""Sverige""]","[""Q34""]","[""ryttare""]","[""Q2730732""]"
Q112657814,Karin Stöckel,"[""Karin Stöckel""]",1,[1952996],[29],,,,kvinna,Q6581072,1992-08-22,,"[""Sverige""]","[""Q34""]","[""gruvarbetare""]","[""Q820037""]"
Q112657822,Hana Al-Khamri,"[""Hana Al-Khamri""]",1,[1952998],[35],,,https://sv.wikipedia.org/wiki/Hana_Al-Khamri,kvinna,Q6581072,1987-05-11,,[],[],"[""författare"",""journalist""]","[""Q36180"",""Q1930187""]"
Q112657847,Jacques Mwepu,"[""Jacques Mwepu""]",1,[1953002],[57],,,https://sv.wikipedia.org/wiki/Jacques_Mwepu,man,Q6581097,1965-04-10,,[],[],"[""kriminalvårdare""]","[""Q311396""]"
Q112657869,P-A Åhlén,"[""P-A Åhlén""]",1,[1953006],[50],,,,man,Q6581097,1971-11-06,,"[""Sverige""]","[""Q34""]","[""biolog""]","[""Q864503""]"
Q112729422,Maria Wolrath Söderberg,"[""Maria Wolrath Söderberg""]",1,[2181760],[56],,,https://sv.wikipedia.org/wiki/Maria_Wolrath_S%C3%B6derberg,kvinna,Q6581072,1967-06-23,,"[""Sverige""]","[""Q34""]","[""lektor"",""retor""]","[""Q1553123"",""Q361809""]"
Q113043121,Tess Olofsson,"[""Tess Olofsson""]",1,[2578806],[37],,,https://sv.wikipedia.org/wiki/Tess_Olofsson,kvinna,Q6581072,1988-01-24,,"[""Sverige""]","[""Q34""]","[""polis"",""fotbollsdomare"",""assisterande domare"",""fotbollsfunktionär""]","[""Q384593"",""Q859528"",""Q223291"",""Q38088701""]"
Q113960215,Victor Beer,"[""Victor Beer""]",1,[761168],[24],,,https://sv.wikipedia.org/wiki/Victor_Beer,man,Q6581097,1992-02-05,,"[""Sverige""]","[""Q34""]","[""youtuber"",""skådespelare"",""manusförfattare"",""komiker"",""filmproducent"",""regissör"",""barnboksförfattare""]","[""Q17125263"",""Q33999"",""Q28389"",""Q245068"",""Q3282637"",""Q3455803"",""Q4853732""]"
Q113960293,Emil Beer,"[""Emil Beer""]",1,[761168],[null],,,,,,,,[],[],[],[]
Q115388065,Marcus Wandt,"[""Marcus Wandt""]",1,[2396960],[43],,,https://sv.wikipedia.org/wiki/Marcus_Wandt,man,Q6581097,1980-09-22,,"[""Sverige"",""Norge""]","[""Q34"",""Q20""]","[""ingenjör"",""flygvapenofficer"",""stridspilot"",""rymdfarare""]","[""Q81096"",""Q19934710"",""Q1281521"",""Q11631""]"
Q115830251,Jonas Gren,"[""Jonas Gren""]",1,[2815467],[44],,,https://sv.wikipedia.org/wiki/Jonas_Gren_(f%C3%B6rfattare),man,Q6581097,1981,,"[""Sverige""]","[""Q34""]","[""författare""]","[""Q36180""]"
Q116760,Vilgot Sjöman,"[""Vilgot Sjöman""]",2,"[381770,421777]","[78,57]",,,https://sv.wikipedia.org/wiki/Vilgot_Sj%C3%B6man,man,Q6581097,1924-12-02,2006-04-09,"[""Sverige""]","[""Q34""]","[""författare"",""skådespelare"",""manusförfattare"",""filmfotograf"",""animatör"",""serietecknare"",""filmproducent"",""filmregissör"",""regissör"",""filmklippare""]","[""Q36180"",""Q33999"",""Q28389"",""Q222344"",""Q266569"",""Q715301"",""Q3282637"",""Q2526255"",""Q3455803"",""Q7042855""]"
Q116842291,Lise Tamm,"[""Lise Tamm""]",1,[2181548],[62],,,https://sv.wikipedia.org/wiki/Lise_Tamm,kvinna,Q6581072,1961-06-21,,"[""Sverige""]","[""Q34""]","[""åklagare""]","[""Q600751""]"
Q117022645,Tilde Addenbrooke,"[""Tilde Addenbrooke""]",1,[2181146],[31],,,https://sv.wikipedia.org/wiki/Tilde_Addenbrooke,kvinna,Q6581072,1992-04-12,,"[""Sverige""]","[""Q34""]","[""hjälparbetare""]","[""Q22336956""]"
